Emotional connection,Shared values & life goals,Aesthetics & taste,ex_total,cur_total,diff
0.05,0.05,0.05,7.732786885245903,8.515573770491804,0.7827868852459003
0.05,0.05,0.07333333333333333,7.690710382513662,8.524754098360654,0.8340437158469927
0.05,0.05,0.09666666666666668,7.648633879781423,8.53393442622951,0.8853005464480876
0.05,0.05,0.12000000000000001,7.606557377049181,8.543114754098362,0.9365573770491809
0.05,0.05,0.14333333333333334,7.56448087431694,8.552295081967213,0.9878142076502723
0.05,0.05,0.16666666666666669,7.5224043715847,8.561475409836067,1.0390710382513673
0.05,0.05,0.19,7.480327868852459,8.570655737704918,1.0903278688524587
0.05,0.05,0.21333333333333332,7.438251366120218,8.57983606557377,1.1415846994535528
0.05,0.05,0.2366666666666667,7.396174863387979,8.589016393442625,1.192841530054646
0.05,0.05,0.26,7.354098360655739,8.598196721311478,1.2440983606557392
0.05,0.05,0.2833333333333333,7.312021857923497,8.607377049180329,1.2953551912568315
0.05,0.05,0.30666666666666664,7.269945355191257,8.61655737704918,1.346612021857923
0.05,0.05,0.33,7.227868852459016,8.625737704918032,1.3978688524590162
0.05,0.05,0.35333333333333333,7.185792349726777,8.634918032786885,1.4491256830601085
0.05,0.05,0.37666666666666665,7.143715846994536,8.644098360655738,1.5003825136612017
0.05,0.05,0.4,7.1016393442622965,8.65327868852459,1.551639344262294
0.05,0.07333333333333333,0.05,7.690710382513661,8.524754098360654,0.8340437158469935
0.05,0.07333333333333333,0.07333333333333333,7.648633879781422,8.533934426229509,0.8853005464480868
0.05,0.07333333333333333,0.09666666666666668,7.606557377049181,8.543114754098362,0.9365573770491809
0.05,0.07333333333333333,0.12000000000000001,7.564480874316939,8.552295081967214,0.987814207650275
0.05,0.07333333333333333,0.14333333333333334,7.5224043715847015,8.561475409836067,1.0390710382513655
0.05,0.07333333333333333,0.16666666666666669,7.480327868852458,8.570655737704918,1.0903278688524596
0.05,0.07333333333333333,0.19,7.438251366120218,8.57983606557377,1.1415846994535528
0.05,0.07333333333333333,0.21333333333333332,7.396174863387978,8.589016393442623,1.192841530054645
0.05,0.07333333333333333,0.2366666666666667,7.354098360655737,8.598196721311476,1.2440983606557392
0.05,0.07333333333333333,0.26,7.312021857923497,8.607377049180329,1.2953551912568315
0.05,0.07333333333333333,0.2833333333333333,7.269945355191258,8.61655737704918,1.346612021857922
0.05,0.07333333333333333,0.30666666666666664,7.227868852459017,8.625737704918034,1.397868852459017
0.05,0.07333333333333333,0.33,7.185792349726777,8.634918032786885,1.4491256830601085
0.05,0.07333333333333333,0.35333333333333333,7.143715846994535,8.644098360655738,1.5003825136612026
0.05,0.07333333333333333,0.37666666666666665,7.101639344262296,8.65327868852459,1.5516393442622949
0.05,0.07333333333333333,0.4,7.059562841530056,8.662459016393445,1.602896174863389
0.05,0.09666666666666668,0.05,7.648633879781422,8.533934426229509,0.8853005464480868
0.05,0.09666666666666668,0.07333333333333333,7.606557377049182,8.543114754098362,0.93655737704918
0.05,0.09666666666666668,0.09666666666666668,7.56448087431694,8.552295081967213,0.9878142076502723
0.05,0.09666666666666668,0.12000000000000001,7.522404371584701,8.561475409836067,1.0390710382513664
0.05,0.09666666666666668,0.14333333333333334,7.480327868852459,8.570655737704918,1.0903278688524587
0.05,0.09666666666666668,0.16666666666666669,7.438251366120219,8.57983606557377,1.141584699453552
0.05,0.09666666666666668,0.19,7.396174863387978,8.589016393442623,1.192841530054645
0.05,0.09666666666666668,0.21333333333333332,7.354098360655739,8.598196721311478,1.2440983606557392
0.05,0.09666666666666668,0.2366666666666667,7.312021857923497,8.607377049180329,1.2953551912568315
0.05,0.09666666666666668,0.26,7.269945355191258,8.61655737704918,1.346612021857922
0.05,0.09666666666666668,0.2833333333333333,7.227868852459018,8.625737704918034,1.3978688524590162
0.05,0.09666666666666668,0.30666666666666664,7.185792349726776,8.634918032786885,1.4491256830601094
0.05,0.09666666666666668,0.33,7.143715846994535,8.644098360655738,1.5003825136612026
0.05,0.09666666666666668,0.35333333333333333,7.101639344262296,8.65327868852459,1.5516393442622949
0.05,0.09666666666666668,0.37666666666666665,7.059562841530055,8.662459016393443,1.602896174863388
0.05,0.09666666666666668,0.4,7.0174863387978155,8.671639344262296,1.6541530054644804
0.05,0.12000000000000001,0.05,7.606557377049181,8.54311475409836,0.9365573770491791
0.05,0.12000000000000001,0.07333333333333333,7.56448087431694,8.552295081967214,0.9878142076502741
0.05,0.12000000000000001,0.09666666666666668,7.5224043715847,8.561475409836067,1.0390710382513673
0.05,0.12000000000000001,0.12000000000000001,7.480327868852459,8.570655737704918,1.0903278688524587
0.05,0.12000000000000001,0.14333333333333334,7.438251366120219,8.57983606557377,1.141584699453552
0.05,0.12000000000000001,0.16666666666666669,7.396174863387979,8.589016393442625,1.192841530054646
0.05,0.12000000000000001,0.19,7.354098360655739,8.598196721311476,1.2440983606557374
0.05,0.12000000000000001,0.21333333333333332,7.312021857923497,8.607377049180329,1.2953551912568315
0.05,0.12000000000000001,0.2366666666666667,7.269945355191257,8.616557377049181,1.3466120218579247
0.05,0.12000000000000001,0.26,7.227868852459016,8.62573770491803,1.3978688524590144
0.05,0.12000000000000001,0.2833333333333333,7.185792349726777,8.634918032786885,1.4491256830601085
0.05,0.12000000000000001,0.30666666666666664,7.143715846994536,8.644098360655738,1.5003825136612017
0.05,0.12000000000000001,0.33,7.101639344262296,8.65327868852459,1.5516393442622949
0.05,0.12000000000000001,0.35333333333333333,7.059562841530056,8.662459016393445,1.602896174863389
